Price,Close,High,Low,Open,Volume,EMA_20,EMA_50,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,ATRr_14
2015-03-17,8723.2998046875,8742.5498046875,8630.7998046875,8689.099609375,177000.0,8751.513485103082,8669.16697265625,48.329561071413764,9.512065123868524,-32.26739979701244,41.77946492088096,119.19470544002448
2015-03-18,8685.900390625,8747.25,8664.0,8742.900390625,156400.0,8745.264618962312,8669.823185125613,46.305228731415234,3.7760640205269738,-30.40272072028319,34.178784740810165,116.62722648002273
2015-03-19,8634.650390625,8788.2001953125,8614.650390625,8749.4501953125,163500.0,8734.729930549234,8668.443859851079,43.60957226901105,-4.8493050948600285,-31.222471868536157,26.37316677367613,120.69312492341396
2015-03-20,8570.900390625,8627.900390625,8553.0,8627.900390625,174600.0,8719.127117223117,8664.618625763782,40.454749074764756,-16.637280269651455,-34.40835763466207,17.771077365010612,117.90435818781296
2015-03-23,8550.900390625,8608.349609375,8540.5498046875,8591.5498046875,150700.0,8703.105524213774,8660.159087130889,39.48956523827663,-27.278716315204292,-36.03983494417192,8.761118628967631,114.32546150921918
2015-03-24,8542.9501953125,8627.75,8535.849609375,8537.0498046875,156700.0,8687.852635746985,8655.562660000756,39.09031772956104,-35.939358810979684,-35.760381951957854,-0.17897685902183103,112.72367073177496
2015-03-25,8530.7998046875,8573.75,8516.5498046875,8568.900390625,161000.0,8672.89522326513,8650.66999900808,38.45049607379637,-43.28445906338311,-34.48438576348902,-8.800073299894088,108.75770820182674
2015-03-26,8342.150390625,8499.4501953125,8325.349609375,8474.9501953125,280100.0,8641.395715394641,8638.571190836195,30.18855692546369,-63.59485315713573,-43.83582388579332,-19.759029271342417,115.6643144240177
2015-03-27,8341.400390625,8413.2001953125,8269.150390625,8396.0,193000.0,8612.824732083247,8626.917433965169,30.16081008527479,-78.84265647096254,-47.2669017596961,-31.57575471126644,117.69184944283788
2015-03-30,8492.2998046875,8492.2998046875,8380.75,8390.9501953125,134700.0,8601.346167569367,8621.638311248398,41.75946235428195,-77.85288921076062,-37.021707599595345,-40.83118161116528,120.06381834424232
2015-03-31,8491.0,8550.4501953125,8454.150390625,8527.599609375,167200.0,8590.837008753237,8616.51524021905,41.695227622800125,-76.29390624167536,-28.37017970440806,-47.9237265372673,118.36638879733216
2015-04-01,8586.25,8603.400390625,8464.75,8483.7001953125,125500.0,8590.400150776737,8615.328368053599,48.00674251195621,-66.60474401527972,-14.94481398240994,-51.65993003286978,119.815246070737
